"Facility Name","Facility Address","Latitude","Longitude","NAICS Code","NAICS Description","Pollutant","Source Type","Emissions in Tons","Year"
"COUNTY OF SAN LUIS OBISPO-OCEANO AIRPORT","561 AIR PARK DR","35.1024","-120.625","488111","Air Traffic Control","Carbon Monoxide","Airport","26.08266","2008"
"SAN JOAQUIN CO. PUBLIC WORKS","14750 E HARNEY LN","38.1020","-121.137","562211","Hazardous Waste Treatment and Disposal","Carbon Monoxide","Miscellaneous","9.130282","2008"
"D&H TRUCK EQUIPMENT","7451         TRADE ST","32.8890","-117.161","811121","Automotive Body, Paint, and Interior Repair and Maintenance","Volatile Organic Compounds","Miscellaneous","6.33244","2008"
"DANA CORPORATION, PARISH DIV.","1550 INDUSTRIAL DRIVE","37.9116","-121.256","336211","Motor Vehicle Body Manufacturing","Volatile Organic Compounds","Miscellaneous","5.2383823","2008"
"MID CAL BODY SHOP","1111 N. UNION STREET","37.9667","-121.280","811121","Automotive Body, Paint, and Interior Repair and Maintenance","Volatile Organic Compounds","Miscellaneous","9.92707975","2008"
"RME INC - WOODBRIDGE WINERY","5950 E WOODBRIDGE RD","38.1600","-121.245","312130","Wineries","Volatile Organic Compounds","Miscellaneous","48.690841175","2008"
"USN EXCHANGE MURPHY CANYON GAS STAT","3401         SANTO RD","32.8060","-117.105","928110","National Security","Volatile Organic Compounds","Miscellaneous","5.98776","2008"
"Tracy Muni","Unknown","37.6891","-121.442","48811","Airport Operations","Carbon Monoxide","Airport","163.769022","2008"
"Stockton Metropolitan","Unknown","37.9011","-121.252","48811","Airport Operations","Volatile Organic Compounds","Airport","5.3804705774","2008"
"Stockton Metropolitan","Unknown","37.9011","-121.252","48811","Airport Operations","Nitrogen Oxides","Airport","7.089739674","2008"
"Stockton Metropolitan","Unknown","37.9011","-121.252","48811","Airport Operations","Carbon Monoxide","Airport","200.97252229","2008"
"ALPINE PACKING CO","9900 LOWER SACRAMENTO RD","38.0428","-121.323","311611","Animal (except Poultry) Slaughtering","PM10","Miscellaneous","8.39306225","2008"
"ALPINE PACKING CO","9900 LOWER SACRAMENTO RD","38.0428","-121.323","311611","Animal (except Poultry) Slaughtering","Volatile Organic Compounds","Miscellaneous","9.7963511","2008"
"ALPINE PACKING CO","9900 LOWER SACRAMENTO RD","38.0428","-121.323","311611","Animal (except Poultry) Slaughtering","Carbon Monoxide","Miscellaneous","16.78685225","2008"
"MOFFIT RICE DRYER","25744 E. LONE TREE ROAD","37.8277","-120.995","311119","Other Animal Food Manufacturing","PM10","Miscellaneous","6.343958","2008"
"PACIFIC GAS & ELECTRIC CO.","MCDONALD ISLAND","37.8452","-121.427","221210","Natural Gas Distribution","Volatile Organic Compounds","Miscellaneous","8.960164311","2008"
"PACIFIC GAS & ELECTRIC CO.","MCDONALD ISLAND","37.8452","-121.427","221210","Natural Gas Distribution","Nitrogen Oxides","Miscellaneous","33.460425","2008"
"PACIFIC GAS & ELECTRIC CO.","MCDONALD ISLAND","37.8452","-121.427","221210","Natural Gas Distribution","Carbon Monoxide","Miscellaneous","46.9798135","2008"
"BASALITE CONCRETE PRODUCTS LLC","11888 W LINNE RD","37.6959","-121.453","327320","Ready-Mix Concrete Manufacturing","PM10","Miscellaneous","6.70506345","2008"
"HUBBARD FEEDS, INC.","2422 S CALIFORNIA ST","37.9271","-121.277","311119","Other Animal Food Manufacturing","Volatile Organic Compounds","Miscellaneous","5.2517","2008"
"Lodi","Unknown","38.2024","-121.268","48811","Airport Operations","Carbon Monoxide","Airport","76.59321","2008"
"Gillespie Field","Unknown","32.8277","-116.982","48811","Airport Operations","Nitrogen Oxides","Airport","7.5140581955","2008"
"Gillespie Field","Unknown","32.8277","-116.982","48811","Airport Operations","Volatile Organic Compounds","Airport","12.4719238739","2008"
"Gillespie Field","Unknown","32.8277","-116.982","48811","Airport Operations","PM10","Airport","15.311076812128","2008"
"Gillespie Field","Unknown","32.8277","-116.982","48811","Airport Operations","Carbon Monoxide","Airport","758.886493294","2008"
"Brown Field Muni","Unknown","32.5723","-116.994","48811","Airport Operations","PM10","Airport","7.81424698023","2008"
"Brown Field Muni","Unknown","32.5723","-116.994","48811","Airport Operations","Volatile Organic Compounds","Airport","9.6860390423","2008"
"Brown Field Muni","Unknown","32.5723","-116.994","48811","Airport Operations","Carbon Monoxide","Airport","355.703666655","2008"
"San Diego Intl-Lindberg","Unknown","32.7359","-117.205","48811","Airport Operations","PM2.5 Primary (Filt + Cond","Airport","25.4933861259","2008"
"San Diego Intl-Lindberg","Unknown","32.7359","-117.205","48811","Airport Operations","PM10","Airport","28.9659756259","2008"
"San Diego Intl-Lindberg","Unknown","32.7359","-117.205","48811","Airport Operations","Sulfur Dioxide","Airport","120.4356785834","2008"
"San Diego Intl-Lindberg","Unknown","32.7359","-117.205","48811","Airport Operations","Volatile Organic Compounds","Airport","166.24529803981","2008"
"San Diego Intl-Lindberg","Unknown","32.7359","-117.205","48811","Airport Operations","Nitrogen Oxides","Airport","1304.442443824","2008"
"San Diego Intl-Lindberg","Unknown","32.7359","-117.205","48811","Airport Operations","Carbon Monoxide","Airport","2154.9030846908","2008"
"Ramona","Unknown","33.0389","-116.914","48811","Airport Operations","PM10","Airport","8.13681918","2008"
"Ramona","Unknown","33.0389","-116.914","48811","Airport Operations","Volatile Organic Compounds","Airport","9.246818438","2008"
"Ramona","Unknown","33.0389","-116.914","48811","Airport Operations","Carbon Monoxide","Airport","389.3013869","2008"
"Oceanside Muni","Unknown","33.2180","-117.352","48811","Airport Operations","Carbon Monoxide","Airport","47.336","2008"
"Montgomery Field","Unknown","32.8150","-117.146","48811","Airport Operations","Volatile Organic Compounds","Airport","10.2314964","2008"
"Montgomery Field","Unknown","32.8150","-117.146","48811","Airport Operations","PM10","Airport","14.288085","2008"
"Montgomery Field","Unknown","32.8150","-117.146","48811","Airport Operations","Carbon Monoxide","Airport","704.385936","2008"
"CANANDAIGUA WINE COMPANY INC","4614 W TURNER RD","38.1457","-121.373","312130","Wineries","Volatile Organic Compounds","Miscellaneous","11.1901106","2008"
"THE WINE GROUP","1777 METZ ROAD","36.4171","-121.279","312130","Wineries","Volatile Organic Compounds","Miscellaneous","10.11551","2008"
"Sacramento Internationa","Unknown","38.6837","-121.602","48811","Airport Operations","PM2.5 Primary (Filt + Cond","Airport","19.2730268236","2008"
"Sacramento Internationa","Unknown","38.6837","-121.602","48811","Airport Operations","PM10","Airport","21.8510946236","2008"
"Sacramento Internationa","Unknown","38.6837","-121.602","48811","Airport Operations","Sulfur Dioxide","Airport","74.9495739994","2008"
"Sacramento Internationa","Unknown","38.6837","-121.602","48811","Airport Operations","Volatile Organic Compounds","Airport","125.6363120958","2008"
"Sacramento Internationa","Unknown","38.6837","-121.602","48811","Airport Operations","Nitrogen Oxides","Airport","792.649703361","2008"
"Sacramento Internationa","Unknown","38.6837","-121.602","48811","Airport Operations","Carbon Monoxide","Airport","1409.748720599","2008"
"Sacramento Executive","Unknown","38.5058","-121.502","48811","Airport Operations","PM10","Airport","6.208997","2008"
"Sacramento Executive","Unknown","38.5058","-121.502","48811","Airport Operations","Volatile Organic Compounds","Airport","7.0550346","2008"
"Sacramento Executive","Unknown","38.5058","-121.502","48811","Airport Operations","Carbon Monoxide","Airport","273.8067","2008"
"Rancho Murieta","Unknown","38.4888","-121.102","48811","Airport Operations","Carbon Monoxide","Airport","67.891213","2008"
"Rio Linda","Unknown","38.6760","-121.446","48811","Airport Operations","Carbon Monoxide","Airport","134.8149","2008"
"Franklin Field","Unknown","38.3049","-121.430","48811","Airport Operations","Carbon Monoxide","Airport","89.4359","2008"
"Sacramento Mather","Unknown","38.5539","-121.298","48811","Airport Operations","Sulfur Dioxide","Airport","6.4085802724","2008"
"Sacramento Mather","Unknown","38.5539","-121.298","48811","Airport Operations","PM10","Airport","8.4525471216","2008"
"Sacramento Mather","Unknown","38.5539","-121.298","48811","Airport Operations","Volatile Organic Compounds","Airport","20.7414749553","2008"
"Sacramento Mather","Unknown","38.5539","-121.298","48811","Airport Operations","Nitrogen Oxides","Airport","66.96089984","2008"
"Sacramento Mather","Unknown","38.5539","-121.298","48811","Airport Operations","Carbon Monoxide","Airport","354.232353388","2008"
"Mc Clellan Airfield","Unknown","38.6676","-121.401","48811","Airport Operations","Carbon Monoxide","Airport","42.53498614","2008"
"APRO #3","102          MISSION W","33.1300","-117.086","447110","Gasoline Stations with Convenience Stores","Volatile Organic Compounds","Miscellaneous","7.79107","2008"
"BP WEST COAST PROD.,ARCO COLTON","2395 RIVERSIDE AVE","34.0600","-117.361","424710","Petroleum Bulk Stations and Terminals","Volatile Organic Compounds","Miscellaneous","19.729467136","2008"
"SFPP, L.P.","2359 RIVERSIDE AVE","34.0589","-117.371","486110","Pipeline Transportation of Crude Oil","Nitrogen Oxides","Miscellaneous","11.22","2008"
"SFPP, L.P.","2359 RIVERSIDE AVE","34.0589","-117.371","486110","Pipeline Transportation of Crude Oil","Volatile Organic Compounds","Miscellaneous","79.651016332","2008"
"ROSS-DOYLE INC","VARIOUS LOCATIONS IN SCAQMD","34.1110","-117.380","423310","Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","Volatile Organic Compounds","Miscellaneous","11.77725622","2008"
"ARCO AM PM","133          8TH ST W","32.6763","-117.105","447110","Gasoline Stations with Convenience Stores","Volatile Organic Compounds","Miscellaneous","8.46855","2008"
"LARKSPUR ENERGY FACILITY","9355         OTAY MESA RD","32.5680","-116.944","221111","Hydroelectric Power Generation","PM10","Miscellaneous","7.04","2008"
"LARKSPUR ENERGY FACILITY","9355         OTAY MESA RD","32.5680","-116.944","221111","Hydroelectric Power Generation","PM2.5 Primary (Filt + Cond","Miscellaneous","7.04","2008"
"LARKSPUR ENERGY FACILITY","9355         OTAY MESA RD","32.5680","-116.944","221111","Hydroelectric Power Generation","Carbon Monoxide","Miscellaneous","27.6","2008"
"TOYOTA SAN DIEGO","5910         MISSION GORGE RD","32.7820","-117.100","441110","New Car Dealers","Volatile Organic Compounds","Miscellaneous","5.34454","2008"
"SCRIPPS ARCO AM PM","12033        SCRIPPS SUMMIT DR","32.9380","-117.101","447110","Gasoline Stations with Convenience Stores","Volatile Organic Compounds","Miscellaneous","5.65898","2008"
"Bermuda Dunes","Unknown","33.7484","-116.275","48811","Airport Operations","Carbon Monoxide","Airport","96.53586","2008"
"Desert Resorts Regional","Unknown","33.6279","-116.160","48811","Airport Operations","Carbon Monoxide","Airport","195.548864","2008"
"TELCO FOOD PRODUCTS","2111 W VALLEY BLVD","34.0706","-117.366","311812","Commercial Bakeries","Volatile Organic Compounds","Miscellaneous","6.6105","2008"
"CHINO BASIN DESALTER AUTHORITY","6905 KIMBALL AVE","33.9686","-117.654","221310","Water Supply and Irrigation Systems","Carbon Monoxide","Miscellaneous","21.64","2008"
"HINO MOTORS MANUFACTURING USA, INC","290 S MILLIKEN AVE","34.0630","-117.558","336399","All Other Motor Vehicle Parts Manufacturing","Volatile Organic Compounds","Miscellaneous","6.7156","2008"
"EI COLTON, LLC","2040 AGUA MANSA RD","34.0430","-117.362","221119","Other Electric Power Generation","Ammonia","Miscellaneous","5.20172","2008"
"EI COLTON, LLC","2040 AGUA MANSA RD","34.0430","-117.362","221119","Other Electric Power Generation","Nitrogen Oxides","Miscellaneous","8.27","2008"
"NM MID VALLEY GENCO LLC","30 BOHNERT RD","34.1000","-117.373","562213","Solid Waste Combustors and Incinerators","Nitrogen Oxides","Electricity Generation via Combustion","11.28","2008"
"NM MID VALLEY GENCO LLC","30 BOHNERT RD","34.1000","-117.373","562213","Solid Waste Combustors and Incinerators","Carbon Monoxide","Electricity Generation via Combustion","44.58","2008"
"Blythe","Unknown","33.6192","-114.717","48811","Airport Operations","Carbon Monoxide","Airport","63.54898","2008"
"CANNON SAFE, INC.","216 S 2ND AVE","34.0973","-117.264","332999","All Other Miscellaneous Fabricated Metal Product Manufacturing","Volatile Organic Compounds","Miscellaneous","5.702318","2008"
"ROBERTSON'S READY MIX","2601 N ALDER AVE","34.1378","-117.420","327320","Ready-Mix Concrete Manufacturing","PM2.5 Primary (Filt + Cond","Miscellaneous","14.14455","2008"
"ROBERTSON'S READY MIX","2601 N ALDER AVE","34.1378","-117.420","327320","Ready-Mix Concrete Manufacturing","PM10","Miscellaneous","22.7004","2008"
"JENSEN PRECAST","14221 SAN BERNARDINO AVE","34.0772","-117.497","327332","Concrete Pipe Manufacturing","Volatile Organic Compounds","Miscellaneous","13.3219947356","2008"
"ARROWHEAD REGIONAL MEDICAL CTR","400 N PEPPER AVE","34.0719","-117.354","622110","General Medical and Surgical Hospitals","Nitrogen Oxides","Miscellaneous","7.64","2008"
"ARROWHEAD REGIONAL MEDICAL CTR","400 N PEPPER AVE","34.0719","-117.354","622110","General Medical and Surgical Hospitals","Carbon Monoxide","Miscellaneous","11.14","2008"
"EQUILON ENTER. LLC, SHELL OIL PROD. U S","2307 RIVERSIDE AVE","34.0609","-117.371","424720","Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","Volatile Organic Compounds","Miscellaneous","10.94072676","2008"
"GRANITE CONSTRUCTION COMPANY","38-155 MONROE ST","33.7395","-116.235","324121","Asphalt Paving Mixture and Block Manufacturing","PM10","Miscellaneous","9.31691722","2008"
"WILDFLOWER ENERGY LP/IINDIGO  GENERATION","63500 19TH AVE","33.9100","-116.553","221112","Fossil Fuel Electric Power Generation","Nitrogen Oxides","Electricity Generation via Combustion","13.37","2008"
"ROBERTSON'S READY MIX, L.P.","13990 APACHE TRAIL","33.9221","-116.807","327320","Ready-Mix Concrete Manufacturing","PM2.5 Primary (Filt + Cond","Miscellaneous","13.96542131","2008"
"ROBERTSON'S READY MIX, L.P.","13990 APACHE TRAIL","33.9221","-116.807","327320","Ready-Mix Concrete Manufacturing","PM10","Miscellaneous","21.96926711","2008"
"VORTEX WHIRLPOOL SYSTEMS, INC","275 RIDER ST","33.8302","-117.233","238990","All Other Specialty Trade Contractors","PM2.5 Primary (Filt + Cond","Miscellaneous","5.00425","2008"
"VORTEX WHIRLPOOL SYSTEMS, INC","275 RIDER ST","33.8302","-117.233","238990","All Other Specialty Trade Contractors","PM10","Miscellaneous","5.1936","2008"
"VORTEX WHIRLPOOL SYSTEMS, INC","275 RIDER ST","33.8302","-117.233","238990","All Other Specialty Trade Contractors","Volatile Organic Compounds","Miscellaneous","17.38056575","2008"
"Southern California Log","Unknown","34.5955","-117.383","48811","Airport Operations","PM10","Airport","5.4993674739","2008"
"Southern California Log","Unknown","34.5955","-117.383","48811","Airport Operations","Nitrogen Oxides","Airport","8.953549407","2008"
"Southern California Log","Unknown","34.5955","-117.383","48811","Airport Operations","Volatile Organic Compounds","Airport","9.99072951521","2008"
"Southern California Log","Unknown","34.5955","-117.383","48811","Airport Operations","Carbon Monoxide","Airport","244.0863095788","2008"
"Twentynine Palms","Unknown","34.1321","-115.946","48811","Airport Operations","Carbon Monoxide","Airport","47.26205","2008"
"San Bernardino Internat","Unknown","34.0954","-117.235","48811","Airport Operations","Carbon Monoxide","Airport","17.925484","2008"
"HEMET MFG CO INC, GENESIS CONSTRUCTION","VARIOUS LOCATIONS IN SCAQMD","33.7020","-116.978","2213","Water, Sewage and Other Systems","Carbon Monoxide","Miscellaneous","7.89","2008"
"SYNAGRO COMPOSTING CO. OF CALIFORNIA INC","10490 DAWSON CANYON RD","33.7816","-117.488","562219","Other Nonhazardous Waste Treatment and Disposal","Nitrogen Oxides","Miscellaneous","5.38","2008"
"SILVER LAKE MINE","T15N R6E, SEC 14","35.2348","-116.182","212210","Iron Ore Mining","PM2.5 Primary (Filt + Cond","Miscellaneous","37.4934","2008"
"SILVER LAKE MINE","T15N R6E, SEC 14","35.2348","-116.182","212210","Iron Ore Mining","PM10","Miscellaneous","37.9224","2008"
"GAS DEPOT THE","495          MEADOWBROOK DR S","32.7080","-117.034","447110","Gasoline Stations with Convenience Stores","Volatile Organic Compounds","Miscellaneous","6.95417","2008"
"Hesperia","Unknown","34.3772","-117.316","48811","Airport Operations","Carbon Monoxide","Airport","15.64821","2008"
"Needles","Unknown","34.7662","-114.623","48811","Airport Operations","Carbon Monoxide","Airport","26.2475","2008"
"Barstow-Daggett","Unknown","34.8513","-116.798","48811","Airport Operations","Volatile Organic Compounds","Airport","7.255134","2008"
"Barstow-Daggett","Unknown","34.8513","-116.798","48811","Airport Operations","Carbon Monoxide","Airport","172.8307","2008"
"Apple Valley","Unknown","34.5753","-117.186","48811","Airport Operations","Carbon Monoxide","Airport","93.7411","2008"
"Chemehuevi Valley","Unknown","34.5275","-114.431","48811","Airport Operations","Carbon Monoxide","Airport","10.43217","2008"
"DUFFY ELECTRIC BOAT CO.","17260 MUSKRAT AVE","34.5623","-117.451","336612","Boat Building","Volatile Organic Compounds","Miscellaneous","6.392","2008"
"HESPERIA SANITARY LANDFILL","5500 HESPERIA DUMP ROAD","33.0842","-115.681","562212","Solid Waste Landfill","PM10","Miscellaneous","8.657307","2008"
"Hollister Muni","Unknown","36.8934","-121.410","48811","Airport Operations","Carbon Monoxide","Airport","144.8634","2008"
"ARCO","810          TAMARACK AV","33.1520","-117.338","447110","Gasoline Stations with Convenience Stores","Volatile Organic Compounds","Miscellaneous","5.0612","2008"
"BARSTOW TERMINAL","34277 DAGGETT-YERMO ROAD","34.8661","-116.881","493110","General Warehousing and Storage","Volatile Organic Compounds","Miscellaneous","13.4524874461","2008"
"WESTMART","4990         AVENIDA ENCINAS","33.1330","-117.330","447110","Gasoline Stations with Convenience Stores","Volatile Organic Compounds","Miscellaneous","5.93795","2008"
"MERCED SUN-STAR","3033 N G STREET","37.3005","-120.481","511110","Newspaper Publishers","Volatile Organic Compounds","Miscellaneous","5.98204","2008"
"HYDROSEAL POLYMERS, INC","12151 MADERA WAY","33.8974","-117.502","325211","Plastics Material and Resin Manufacturing","Volatile Organic Compounds","Miscellaneous","7.86","2008"
"R. J. NOBLE COMPANY","25225 MAITRI RD","33.7454","-117.479","324121","Asphalt Paving Mixture and Block Manufacturing","Carbon Monoxide","Miscellaneous","12.78","2008"
"U S A WASTE OF CAL(EL SOBRANTE LANDFILL)","10910 DAWSON CANYON RD","33.7824","-117.469","562212","Solid Waste Landfill","Volatile Organic Compounds","Miscellaneous","13.970152264","2008"
"U S A WASTE OF CAL(EL SOBRANTE LANDFILL)","10910 DAWSON CANYON RD","33.7824","-117.469","562212","Solid Waste Landfill","Nitrogen Oxides","Miscellaneous","15.32","2008"
"U S A WASTE OF CAL(EL SOBRANTE LANDFILL)","10910 DAWSON CANYON RD","33.7824","-117.469","562212","Solid Waste Landfill","Carbon Monoxide","Miscellaneous","63.84","2008"
"MARUCHAN INC","15800 LAGUNA CANYON RD","33.6633","-117.766","311823","Dry Pasta Manufacturing","Carbon Monoxide","Miscellaneous","11.29","2008"
"Truckee-Tahoe","Unknown","39.3200","-120.140","48811","Airport Operations","Carbon Monoxide","Airport","91.6879632164","2008"
"Nevada County Air Park","Unknown","39.2240","-121.003","48811","Airport Operations","Carbon Monoxide","Airport","66.778573","2008"
"RALPHS GROCERY CO","1500 EASTRIDGE AVE.","33.9313","-117.304","445110","Supermarkets and Other Grocery (except Convenience) Stores","Carbon Monoxide","Miscellaneous","11.01","2008"
"RALPHS GROCERY CO","1500 EASTRIDGE AVE.","33.9313","-117.304","445110","Supermarkets and Other Grocery (except Convenience) Stores","Nitrogen Oxides","Miscellaneous","45.79","2008"
"CITY OF ANAHEIM/COMB TURBINE GEN STATION","1144 N KRAEMER BLVD","33.8528","-117.859","221119","Other Electric Power Generation","Nitrogen Oxides","Electricity Generation via Combustion","17.08","2008"
"MARCEL ELECTRONICS","140-240 W BRISTOL LN","33.8268","-117.855","334412","Bare Printed Circuit Board Manufacturing","Volatile Organic Compounds","Miscellaneous","9.0895134393","2008"
"INGOMAR PACKING COMPANY","9950 S INGOMAR GRADE","37.0566","-120.849","115114","Postharvest Crop Activities (except Cotton Ginning)","Nitrogen Oxides","Miscellaneous","5.892884","2008"
"INGOMAR PACKING COMPANY","9950 S INGOMAR GRADE","37.0566","-120.849","115114","Postharvest Crop Activities (except Cotton Ginning)","Carbon Monoxide","Miscellaneous","23.32099","2008"
"FINELINE INDUSTRIES, INC.","455 GROGAN AVENUE","37.2945","-120.520","336612","Boat Building","Volatile Organic Compounds","Miscellaneous","29.6164","2008"
"Rogers Field","Unknown","40.2824","-121.241","48811","Airport Operations","Carbon Monoxide","Airport","40.624673","2008"
"Nervino","Unknown","39.8207","-120.354","48811","Airport Operations","Carbon Monoxide","Airport","41.7287","2008"
"SANTA MARGARITA WATER DIST","28793 ORTEGA HWY","33.5173","-117.630","211111","Crude Petroleum and Natural Gas Extraction","Ammonia","Miscellaneous","21.177905","2008"
"O C WASTE & RECYCLING","1942 N VALENCIA AVE","33.9384","-117.835","562212","Solid Waste Landfill","Sulfur Dioxide","Miscellaneous","7.58438925","2008"
"O C WASTE & RECYCLING","1942 N VALENCIA AVE","33.9384","-117.835","562212","Solid Waste Landfill","Carbon Monoxide","Miscellaneous","24.383923","2008"
"O C WASTE & RECYCLING","1942 N VALENCIA AVE","33.9384","-117.835","562212","Solid Waste Landfill","Nitrogen Oxides","Miscellaneous","30.656375","2008"
"Napa County","Unknown","38.2088","-122.289","48811","Airport Operations","PM10","Airport","7.577543631355","2008"
"Napa County","Unknown","38.2088","-122.289","48811","Airport Operations","Volatile Organic Compounds","Airport","8.52468976681","2008"
"Napa County","Unknown","38.2088","-122.289","48811","Airport Operations","Carbon Monoxide","Airport","341.060325132","2008"
"Angwin-Parrett Field","Unknown","38.5785","-122.435","48811","Airport Operations","Carbon Monoxide","Airport","31.55733","2008"
"Gansner Field","Unknown","39.9438","-120.947","48811","Airport Operations","Carbon Monoxide","Airport","34.148493","2008"
"Lincoln Regional/Karl H","Unknown","38.9171","-121.354","48811","Airport Operations","Carbon Monoxide","Airport","170.62781","2008"
"Auburn Muni","Unknown","38.9548","-121.082","48811","Airport Operations","Carbon Monoxide","Airport","158.242876","2008"
"Ukiah Muni","Unknown","39.1260","-123.201","48811","Airport Operations","Carbon Monoxide","Airport","102.96232531","2008"
"Boonville","Unknown","39.0127","-123.383","48811","Airport Operations","Carbon Monoxide","Airport","11.15339","2008"
"Little River","Unknown","39.2620","-123.754","48811","Airport Operations","Carbon Monoxide","Airport","16.5210923","2008"
"Ells Field-Willits Muni","Unknown","39.4513","-123.372","48811","Airport Operations","Carbon Monoxide","Airport","12.95687","2008"
"Round Valley","Unknown","39.7902","-123.266","48811","Airport Operations","Carbon Monoxide","Airport","18.508279","2008"
"Mariposa-Yosemite","Unknown","37.5108","-120.042","48811","Airport Operations","Carbon Monoxide","Airport","82.53872","2008"
"Salinas Muni","Unknown","36.6626","-121.619","48811","Airport Operations","Volatile Organic Compounds","Airport","5.55946276","2008"
"Salinas Muni","Unknown","36.6626","-121.619","48811","Airport Operations","Carbon Monoxide","Airport","229.30014","2008"
"Marina Municipal","Unknown","36.6819","-121.762","48811","Airport Operations","Carbon Monoxide","Airport","113.4383","2008"
"Monterey Peninsula","Unknown","36.5903","-121.857","48811","Airport Operations","PM10","Airport","5.6490067164","2008"
"Monterey Peninsula","Unknown","36.5903","-121.857","48811","Airport Operations","Volatile Organic Compounds","Airport","11.2328654951","2008"
"Monterey Peninsula","Unknown","36.5903","-121.857","48811","Airport Operations","Nitrogen Oxides","Airport","27.925743774","2008"
"Monterey Peninsula","Unknown","36.5903","-121.857","48811","Airport Operations","Carbon Monoxide","Airport","260.915089033","2008"
"Mesa Del Rey","Unknown","36.2280","-121.122","48811","Airport Operations","Carbon Monoxide","Airport","8.39962","2008"
"Gnoss Field","Unknown","38.1435","-122.557","48811","Airport Operations","Volatile Organic Compounds","Airport","5.61920244","2008"
"Gnoss Field","Unknown","38.1435","-122.557","48811","Airport Operations","PM10","Airport","7.6226617","2008"
"Gnoss Field","Unknown","38.1435","-122.557","48811","Airport Operations","Carbon Monoxide","Airport","377.472843","2008"
"SADDLEBACK COMMUNITY COLLEGE DISTRICT","28000 MARGUERITE PKY","33.5535","-117.671","611210","Junior Colleges","Nitrogen Oxides","Miscellaneous","6.23182","2008"
"SADDLEBACK COMMUNITY COLLEGE DISTRICT","28000 MARGUERITE PKY","33.5535","-117.671","611210","Junior Colleges","Carbon Monoxide","Miscellaneous","26.85388","2008"
"Bryant Field","Unknown","38.2624","-119.226","48811","Airport Operations","Carbon Monoxide","Airport","8.89356","2008"
"Lee Vining","Unknown","37.9583","-119.107","48811","Airport Operations","Carbon Monoxide","Airport","8.25831","2008"
"Mammoth Yosemite","Unknown","37.6241","-118.838","48811","Airport Operations","Carbon Monoxide","Airport","33.62395153","2008"
"YORBA LINDA WATER DISTRICT","52521/2 HIGHLAND","33.8838","-117.822","221310","Water Supply and Irrigation Systems","Nitrogen Oxides","Miscellaneous","8.13","2008"
